,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Celestun,MX,20.8667,-90.4,72.59,68,6,9.69,clear sky
349,Tauramena,CO,5.0183,-72.7492,69.67,95,100,2.84,overcast clouds
350,Jinji,CN,23.2281,110.8261,73.2,80,99,5.14,overcast clouds
351,Asau,RO,46.4333,26.4,38.32,93,1,4.5,clear sky
352,Lincoln,US,40.8,-96.667,44.51,65,90,1.01,overcast clouds
353,Wanning,CN,18.8003,110.3967,78.89,87,48,9.06,scattered clouds
354,Walvis Bay,NA,-22.9575,14.5053,59.09,88,0,8.05,clear sky
355,Shar,KZ,49.5886,81.0453,39.78,66,100,12.84,overcast clouds
356,Lotoshino,RU,56.2267,35.6414,36.45,85,6,7.36,clear sky
357,Ozernovskiy,RU,51.5,156.5167,34.25,59,47,22.66,scattered clouds
358,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,95,100,6.04,overcast clouds
359,Broken Hill,AU,-31.95,141.4333,80.31,10,36,8.05,scattered clouds
360,Jurm,AF,36.8648,70.8342,44.44,62,48,0.63,scattered clouds
361,Antofagasta,CL,-23.65,-70.4,58.28,74,18,1.43,few clouds
362,Akyab,MM,20.15,92.9,83.52,68,62,1.99,broken clouds
363,Bilibino,RU,68.0546,166.4372,-24.77,100,99,2.28,overcast clouds
364,Proddatur,IN,14.7333,78.55,76.69,54,93,10.22,heavy intensity rain
365,Jonkoping,SE,57.7814,14.1562,53.38,82,100,14.97,overcast clouds
366,Ternate,ID,0.8,127.4,83.91,71,99,3.09,overcast clouds
367,Dabhol,IN,17.6,73.1667,86.16,54,77,3.49,broken clouds
368,Kondapalle,IN,16.6167,80.5333,88.65,74,84,7.81,broken clouds
369,Uspenka,UA,48.3903,39.1619,40.8,95,0,6.55,clear sky
370,Cap-Aux-Meules,CA,47.3821,-61.8597,53.62,94,100,18.41,light rain
371,Olga,RU,43.7444,135.2892,49.03,74,100,7.36,light rain
372,Najran,SA,17.4924,44.1277,59.65,32,7,5.53,clear sky
373,Manavalakurichi,IN,8.1333,77.3,78.89,84,100,3.58,overcast clouds
374,Nenjiang,CN,49.1833,125.2167,42.04,26,18,9.06,few clouds
375,Ashland,US,40.8167,-82.2665,48.79,77,85,13.15,overcast clouds
376,Sivaki,RU,52.6333,126.75,37.94,32,24,6.26,few clouds
377,Nabire,ID,-3.3667,135.4833,83.8,75,76,3.83,light rain
378,Labuhan,ID,-6.8844,112.2051,81.75,75,100,7.31,overcast clouds
379,Sorong,ID,-0.8833,131.25,84.04,72,77,5.06,broken clouds
380,Pitrufquen,CL,-38.9833,-72.65,51.82,87,90,5.75,overcast clouds
381,Oktyabrskoye,RU,43.0645,44.7417,39.34,100,100,2.24,mist
382,Coria,ES,39.9879,-6.5377,61.45,92,100,6.69,overcast clouds
383,Susanville,US,40.4163,-120.653,49.84,60,1,4.61,clear sky
384,Masumbwe,TZ,-3.6333,32.1833,73.78,61,100,2.42,overcast clouds
385,Shenjiamen,CN,29.9576,122.298,67.73,58,60,10.33,broken clouds
386,Ust-Ishim,RU,57.6935,71.1665,25.3,94,100,6.58,snow
387,Sorland,NO,67.667,12.6934,46.47,79,47,15.23,scattered clouds
388,Henties Bay,NA,-22.116,14.2845,58.86,91,0,10.25,clear sky
389,Marawi,PH,7.9986,124.2928,75.65,76,84,7.09,broken clouds
390,Nanortalik,GL,60.1432,-45.2371,33.82,62,49,8.52,scattered clouds
391,Talcahuano,CL,-36.7167,-73.1167,53.28,82,75,6.91,broken clouds
392,Tura,IN,25.5198,90.2201,76.93,48,0,0.16,clear sky
393,Hasaki,JP,35.7333,140.8333,68.29,69,100,4.63,overcast clouds
394,Carahue,CL,-38.7,-73.1667,52.0,98,76,1.54,broken clouds
395,Geraldton,AU,-28.7667,114.6,70.21,43,47,19.57,scattered clouds
396,Portland,US,45.5234,-122.6762,54.19,47,1,4.0,clear sky
397,Asfi,MA,32.2994,-9.2372,64.92,85,11,7.85,few clouds
398,Carmo Do Paranaiba,BR,-19.0008,-46.3161,62.94,98,100,3.24,overcast clouds
399,Alekseyevka,RU,50.6309,38.6903,38.14,81,0,5.06,clear sky
400,Minas,UY,-34.3759,-55.2377,61.27,93,99,7.02,overcast clouds
401,Kemijarvi,FI,66.7131,27.4306,35.67,98,100,6.76,overcast clouds
402,Brits,ZA,-25.6347,27.7802,68.29,60,0,5.66,clear sky
403,Havelock,US,34.8791,-76.9013,62.55,91,40,0.0,scattered clouds
404,Saint-Augustin,CA,51.226,-58.6502,43.54,78,100,7.81,overcast clouds
405,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,28,0,5.01,clear sky
406,Villa Carlos Paz,AR,-31.4241,-64.4978,58.24,86,76,2.33,moderate rain
407,Namatanai,PG,-3.6667,152.4333,85.14,67,63,11.74,broken clouds
408,Sur,OM,22.5667,59.5289,87.17,42,0,15.35,clear sky
409,Meulaboh,ID,4.1363,96.1285,84.7,67,99,5.12,overcast clouds
410,Erdenet,MN,49.0333,104.0833,38.05,41,96,4.68,overcast clouds
411,Yar-Sale,RU,66.8333,70.8333,10.24,95,100,2.13,light snow
412,Yalvac,TR,38.2956,31.1778,52.47,82,100,3.71,overcast clouds
413,Singaraja,ID,-8.112,115.0882,85.96,77,99,4.16,overcast clouds
414,Inhambane,MZ,-23.865,35.3833,68.0,82,20,0.0,few clouds
415,San Rafael Del Sur,NI,11.8485,-86.4384,76.17,84,65,5.68,broken clouds
416,Jalingo,NG,8.8833,11.3667,75.11,80,45,3.02,scattered clouds
417,Savalou,BJ,7.9281,1.9756,74.07,89,9,4.25,clear sky
418,Talara,PE,-4.5772,-81.2719,64.56,84,9,12.95,clear sky
419,Port-Gentil,GA,-0.7193,8.7815,76.33,91,100,8.48,heavy intensity rain
420,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,81,0,3.44,clear sky
421,Samarai,PG,-10.6167,150.6667,83.64,78,100,15.03,overcast clouds
422,Kharan,PK,28.5833,65.4167,67.86,23,0,1.05,clear sky
423,Gorin,RU,51.1983,136.6669,39.2,40,3,6.53,clear sky
424,Sabinas Hidalgo,MX,26.5,-100.1667,69.06,74,0,5.77,clear sky
425,Sindor,RU,62.8629,51.8905,21.69,93,99,6.04,overcast clouds
426,Mecca,SA,21.4267,39.8261,82.33,49,1,1.36,clear sky
427,Mandan,US,46.8267,-100.8896,31.95,75,75,1.01,broken clouds
428,Saint Anthony,US,45.0205,-93.218,38.35,70,1,1.99,clear sky
429,Costinesti,RO,43.95,28.6333,53.06,86,100,10.16,overcast clouds
430,Sydney,AU,-33.8679,151.2073,77.49,62,0,3.0,clear sky
431,Traralgon,AU,-38.1833,146.5333,75.18,45,12,5.01,few clouds
432,Bambous Virieux,MU,-20.3428,57.7575,79.21,78,40,6.91,scattered clouds
433,San Isidro,PE,-12.1167,-77.05,63.01,83,40,9.22,scattered clouds
434,Naryan-Mar,RU,67.6713,53.087,6.67,94,5,2.86,clear sky
435,Coquimbo,CL,-29.9533,-71.3436,55.13,94,75,2.3,broken clouds
436,Cairns,AU,-16.9167,145.7667,92.07,61,75,19.57,broken clouds
437,Klyuchi,RU,52.2667,79.1667,33.57,74,100,15.05,overcast clouds
438,Banda Aceh,ID,5.5577,95.3222,84.45,69,82,2.57,broken clouds
439,Galle,LK,6.0367,80.217,81.0,80,100,13.58,overcast clouds
440,Bagan,RU,54.1001,77.6646,29.35,83,100,12.84,overcast clouds
441,Aldan,RU,58.6031,125.3894,29.17,78,59,4.94,broken clouds
442,Yongchang,CN,30.0381,119.7317,74.57,48,84,6.78,broken clouds
443,Mont-Dore,NC,-22.2833,166.5833,77.0,99,88,15.17,overcast clouds
444,Hirara,JP,24.8,125.2833,82.26,69,40,9.22,scattered clouds
445,Dalvik,IS,65.9702,-18.5286,33.73,98,99,10.96,light rain
446,Mayo,US,38.8876,-76.5119,57.56,86,1,1.01,clear sky
447,Kenora,CA,49.8167,-94.4337,33.78,93,90,9.22,light shower snow
448,Vostok,RU,46.4856,135.8833,43.34,45,6,4.03,clear sky
449,Yunyang,CN,33.4474,112.7142,62.98,53,100,12.44,overcast clouds
450,Camana,PE,-16.6228,-72.7111,64.53,85,11,6.31,few clouds
451,Moldovenesti,RO,46.5,23.65,25.93,93,1,2.3,mist
452,Lompoc,US,34.6391,-120.4579,57.78,88,1,0.0,clear sky
453,Zonguldak,TR,41.25,31.8333,43.65,70,100,3.0,overcast clouds
454,Nizhnevartovsk,RU,60.9344,76.5531,-0.38,85,20,2.24,few clouds
455,Thurso,GB,58.5927,-3.5259,48.15,87,37,2.33,scattered clouds
456,Patrocinio,BR,-18.9439,-46.9925,64.72,97,100,2.57,overcast clouds
457,Mana,GF,5.6592,-53.7767,77.76,86,43,6.91,scattered clouds
458,Kristiansund,NO,63.1115,7.732,52.45,46,40,11.5,scattered clouds
459,Abrau-Dyurso,RU,44.69,37.59,45.86,68,58,6.91,broken clouds
460,Kaduy,RU,59.2,37.15,42.84,94,83,6.46,broken clouds
461,Hereford,GB,52.0568,-2.7148,51.33,85,100,18.28,overcast clouds
462,Perpignan,FR,42.75,2.75,60.19,78,90,8.05,overcast clouds
463,Kachiry,KZ,53.0675,76.1036,36.43,66,99,13.29,overcast clouds
464,Tautira,PF,-17.7333,-149.15,80.62,78,69,16.28,broken clouds
465,Yatou,CN,37.15,122.3833,55.94,51,0,16.73,clear sky
466,Fomboni,KM,-12.28,43.7425,79.75,76,4,14.58,clear sky
467,Tommot,RU,58.9564,126.2925,32.76,77,80,4.23,broken clouds
468,Kaya,BF,13.0917,-1.0844,77.65,20,96,4.36,overcast clouds
469,Catuday,PH,16.2923,119.8062,83.71,62,37,5.23,scattered clouds
470,Sao Borja,BR,-28.6606,-56.0044,69.94,81,67,6.64,broken clouds
471,Impfondo,CG,1.6381,18.0667,70.59,99,100,2.1,overcast clouds
472,Fort-Shevchenko,KZ,44.5086,50.263,53.74,49,99,15.37,overcast clouds
473,Ishigaki,JP,24.3448,124.1572,78.93,73,75,14.97,broken clouds
474,Vestmannaeyjar,IS,63.4427,-20.2734,37.42,68,14,26.96,few clouds
475,Hvide Sande,DK,56.0045,8.1294,52.38,81,52,26.06,broken clouds
476,Fairbanks,US,64.8378,-147.7164,46.36,41,1,10.36,clear sky
477,Tomatlan,MX,19.9333,-105.25,72.81,90,0,3.36,clear sky
478,Berlevag,NO,70.8578,29.0864,32.0,83,83,16.08,broken clouds
479,Kiunga,PG,-6.1219,141.2906,81.99,92,87,3.76,overcast clouds
480,Aklavik,CA,68.2191,-135.0107,34.52,89,100,8.1,overcast clouds
481,Dakar,SN,14.6937,-17.4441,79.68,77,99,17.34,overcast clouds
482,Zhireken,RU,52.8249,117.3076,34.45,45,78,4.61,broken clouds
483,Chulumani,BO,-16.4096,-67.5263,64.17,93,99,1.63,overcast clouds
484,Guca,RS,43.7767,20.2253,48.99,86,0,2.3,clear sky
485,Praia,CV,14.9215,-23.5087,77.54,94,40,12.66,scattered clouds
486,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,73.78,58,46,6.33,scattered clouds
487,Lisakovsk,KZ,52.5369,62.4936,45.43,81,41,15.39,scattered clouds
488,Bardiyah,LY,31.7561,25.0865,68.72,69,67,14.0,broken clouds
489,Tallahassee,US,30.4383,-84.2807,58.64,96,1,0.0,clear sky
490,Boditi,ET,6.9667,37.8667,59.05,78,41,8.19,scattered clouds
491,Nyrob,RU,60.733,56.7202,28.17,91,96,7.09,overcast clouds
492,Makasar,ID,-5.14,119.4221,89.65,62,20,9.22,few clouds
493,Emerald,AU,-23.5333,148.1667,84.34,45,90,13.8,overcast clouds
494,Vao,NC,-22.6667,167.4833,71.73,74,23,23.13,few clouds
495,Kalabo,ZM,-14.97,22.6814,72.43,70,97,5.01,overcast clouds
496,Steamboat Springs,US,40.485,-106.8317,45.27,82,90,0.0,overcast clouds
497,Sidi Ali,DZ,36.0998,0.4206,67.01,78,50,19.73,scattered clouds
498,Cozumel,MX,20.5083,-86.9458,79.0,71,10,3.0,clear sky
499,Eureka,US,40.8021,-124.1637,61.75,87,100,1.01,overcast clouds
500,Kushmurun,KZ,52.4503,64.6311,44.96,80,92,14.03,overcast clouds
501,Bungu,TZ,-7.6337,39.0582,80.89,66,35,5.14,scattered clouds
502,Bamnet Narong,TH,15.4992,101.6897,83.03,72,79,11.27,broken clouds
503,Tortoli,IT,39.9256,9.6572,60.98,77,20,4.61,few clouds
504,Cap Malheureux,MU,-19.9842,57.6142,79.47,69,1,8.01,clear sky
505,Morehead,US,37.2711,-87.1764,46.11,95,1,0.0,clear sky
506,Tariba,VE,7.8188,-72.2243,64.96,98,99,0.85,light rain
507,Tarrafal,CV,15.2833,-23.7667,77.79,83,100,13.49,overcast clouds
508,Noumea,NC,-22.2763,166.4572,77.0,99,87,16.67,overcast clouds
509,Paraiso,CR,9.8383,-83.8656,65.88,91,100,1.7,light rain
510,Tebingtinggi,ID,3.3285,99.1625,90.12,58,100,3.65,light rain
511,Parrita,CR,9.5201,-84.3225,80.98,92,100,2.26,overcast clouds
512,Bara,NG,10.3744,10.7288,71.31,34,84,1.59,broken clouds
513,Bharatpur,IN,27.2167,77.4833,79.45,35,0,6.58,clear sky
514,Sainte-Marie,RE,-20.8968,55.5496,80.06,70,20,12.66,few clouds
515,Tessalit,ML,20.1986,1.0114,78.82,17,3,9.01,clear sky
516,Bichura,RU,50.5881,107.6022,46.31,38,100,4.85,overcast clouds
517,Huarmey,PE,-10.0681,-78.1522,63.68,85,16,5.97,few clouds
518,Kindu,CD,-2.95,25.95,69.44,100,100,2.39,heavy intensity rain
519,Pringsewu,ID,-5.3582,104.9744,85.95,71,97,1.81,light rain
520,Odienne,CI,9.51,-7.5692,69.49,92,82,2.19,broken clouds
521,Batticaloa,LK,7.7102,81.6924,85.19,72,63,9.1,broken clouds
522,Begunitsy,RU,59.5855,29.3176,45.37,94,94,4.74,overcast clouds
523,Oranjestad,AW,12.524,-70.027,80.55,78,20,10.36,few clouds
524,Neuquen,AR,-38.9516,-68.0591,51.69,71,0,2.3,clear sky
525,Fandriana,MG,-20.2333,47.3833,71.26,54,0,2.91,clear sky
526,Isla Mujeres,MX,21.2311,-86.731,69.17,61,3,6.76,clear sky
527,Nyurba,RU,63.2842,118.3319,22.53,76,97,5.19,overcast clouds
528,Kaeo,NZ,-35.1,173.7833,64.33,65,92,6.51,overcast clouds
529,Kushiro,JP,42.975,144.3747,56.35,58,40,16.11,scattered clouds
530,Cuamba,MZ,-14.8031,36.5372,80.71,50,0,7.74,clear sky
531,Saint-Pierre,RE,-21.3393,55.4781,79.57,64,0,13.8,clear sky
532,Pavlikeni,BG,43.2428,25.3219,44.67,89,16,1.95,few clouds
533,Aviles,ES,43.5547,-5.9248,57.72,67,0,18.41,clear sky
534,Basoko,CD,1.2391,23.616,69.87,97,100,4.56,light rain
535,Gat,IL,31.61,34.7642,74.39,44,100,4.25,overcast clouds
536,Acandi,CO,8.5063,-77.2778,74.48,93,81,2.62,broken clouds
537,Rawson,AR,-43.3002,-65.1023,47.61,78,67,13.47,broken clouds
538,Turan,VN,16.0678,108.2208,77.05,88,75,3.44,mist
539,Kerteminde,DK,55.449,10.6577,53.33,85,100,13.85,overcast clouds
540,Dudinka,RU,69.4058,86.1778,-11.09,100,95,5.59,overcast clouds
541,Rundu,NA,-17.9333,19.7667,70.68,45,1,5.1,clear sky
542,Tabou,CI,4.423,-7.3528,76.66,88,84,6.87,broken clouds
543,Igrim,RU,63.1906,64.4162,14.32,64,88,4.72,overcast clouds
544,Huilong,CN,31.8111,121.655,72.99,50,85,8.21,overcast clouds
545,Anloga,GH,5.7947,0.8973,79.02,80,80,14.92,broken clouds
546,Viedma,AR,-40.8135,-62.9967,46.58,85,100,5.7,overcast clouds
547,Tuatapere,NZ,-46.1333,167.6833,55.2,73,94,12.26,overcast clouds
548,West Helena,US,34.5507,-90.6418,53.6,75,0,10.92,clear sky
549,Barroso,BR,-21.1869,-43.9758,62.82,98,100,4.03,light rain
550,Sabang,ID,5.8933,95.3214,81.52,74,73,2.01,broken clouds
551,Ende,ID,-8.8432,121.6623,85.6,72,78,3.74,broken clouds
552,Carnarvon,AU,-24.8667,113.6333,73.47,53,29,16.11,scattered clouds
553,Dewas,IN,22.9667,76.0667,77.18,36,2,7.0,clear sky
554,Klaksvik,FO,62.2266,-6.589,41.92,77,100,21.97,overcast clouds
555,Saint-Louis,SN,16.3333,-15.0,85.68,22,75,11.5,broken clouds
556,Rocha,UY,-34.4833,-54.3333,64.31,98,98,5.14,overcast clouds
557,Mizan Teferi,ET,6.9833,35.5833,69.08,61,61,1.99,broken clouds
558,Santo Domingo,DO,18.5001,-69.9886,73.08,86,4,3.51,clear sky
559,Kang,BW,-23.6752,22.7876,71.82,24,0,4.83,clear sky
560,Sept-Iles,CA,50.2001,-66.3821,50.52,97,90,8.01,mist
561,Katherine,AU,-14.4667,132.2667,98.92,28,0,8.05,clear sky
562,Koumac,NC,-20.5667,164.2833,77.09,69,5,18.41,clear sky
563,Kurilsk,RU,45.2333,147.8833,41.22,75,99,13.78,overcast clouds
564,Altamira,BR,-3.2033,-52.2064,74.1,89,83,2.01,broken clouds
565,San Cristobal,VE,7.7669,-72.225,64.58,98,99,1.07,light rain
566,Norman Wells,CA,65.282,-126.8329,12.24,85,40,4.61,scattered clouds
567,Svolvaer,NO,68.2342,14.5683,46.58,87,75,9.22,broken clouds
568,Okha,RU,53.5739,142.9478,31.51,58,36,10.36,scattered clouds
569,Nantucket,US,41.2835,-70.0995,60.1,87,16,17.11,few clouds
570,Muriwai Beach,NZ,-36.8167,174.45,63.36,61,20,11.18,few clouds
571,Koygorodok,RU,60.445,50.9968,37.31,100,100,2.08,overcast clouds
572,Doha,QA,25.2867,51.5333,82.38,71,0,6.91,clear sky
573,Kikwit,CD,-5.041,18.8162,69.33,99,100,0.63,light rain
574,Katangli,RU,51.7102,143.2326,33.17,40,5,7.05,clear sky
575,Sawakin,SD,19.1059,37.3321,86.11,71,39,12.64,scattered clouds
576,Vaitape,PF,-16.5167,-151.75,79.23,73,75,16.08,broken clouds
577,Mount Isa,AU,-20.7333,139.5,94.77,31,39,9.22,scattered clouds
578,Capaci,IT,38.1711,13.2393,67.6,91,75,8.01,drizzle
579,Ofaqim,IL,31.3141,34.6203,72.73,43,100,3.09,overcast clouds
580,Caravelas,BR,-17.7125,-39.2481,74.34,84,43,7.94,scattered clouds
581,Cubuk,TR,40.2386,33.0322,49.77,87,75,1.14,broken clouds
582,Cowra,AU,-33.8333,148.6833,73.27,24,99,7.16,overcast clouds
583,Aljezur,PT,37.3191,-8.8033,68.07,96,96,13.0,overcast clouds
584,Bulgan,MN,48.8125,103.5347,40.87,37,94,4.07,overcast clouds
585,Marystown,CA,47.1666,-55.1483,47.86,100,100,3.0,overcast clouds
586,Floriano,BR,-6.7669,-43.0225,79.2,56,82,2.86,broken clouds
587,Mitu,CO,1.1983,-70.1733,71.46,99,100,2.19,overcast clouds
588,San Rafael,AR,-34.6177,-68.3301,47.89,71,100,4.32,overcast clouds
589,Yulara,AU,-25.2406,130.9889,87.64,30,15,6.91,few clouds
590,Luba,GQ,3.4568,8.5547,75.09,83,99,2.66,moderate rain
591,Pochinki,RU,54.6988,44.8668,39.25,82,7,9.1,clear sky
592,Katobu,ID,-4.9408,122.5276,90.36,54,29,1.74,scattered clouds
593,Beira,MZ,-19.8436,34.8389,71.69,88,40,5.99,scattered clouds
594,Wenling,CN,28.3669,121.36,72.91,66,99,10.78,overcast clouds
595,Xinqing,CN,48.2333,129.5,43.43,21,8,0.65,clear sky
596,Nampula,MZ,-15.1165,39.2666,73.35,83,20,11.5,mist
597,Mnogovershinnyy,RU,53.9353,139.9242,27.73,57,4,6.91,clear sky
598,Tefe,BR,-3.3542,-64.7114,75.61,92,86,2.13,light rain
599,Dzilam Gonzalez,MX,21.2833,-88.9333,68.16,76,13,3.91,few clouds
600,Joao Camara,BR,-5.5375,-35.8197,79.84,89,71,7.85,broken clouds
601,Kananga,CD,-5.8958,22.4178,68.83,97,100,0.78,overcast clouds
602,Oksfjord,NO,70.2396,22.3479,38.32,89,97,11.25,overcast clouds
603,Archena,ES,38.1163,-1.3004,74.16,64,70,9.64,broken clouds
604,Lakhipur,IN,26.0299,90.3041,76.48,70,0,6.73,clear sky
605,Manicaragua,CU,22.1494,-79.9736,68.45,82,52,0.72,broken clouds
606,Macomer,IT,40.262,8.7699,59.83,99,99,3.49,overcast clouds
607,Haines Junction,CA,60.7522,-137.5108,24.75,74,100,3.44,overcast clouds
608,Merauke,ID,-8.4667,140.3333,84.87,77,80,15.7,moderate rain
609,Flinders,AU,-34.5833,150.8552,76.28,65,100,5.01,overcast clouds
610,Young,UY,-32.6833,-57.6333,60.67,97,86,11.72,overcast clouds
611,Floro,NO,61.5996,5.0328,46.96,81,90,10.36,moderate rain
612,Methoni,GR,36.8197,21.7049,58.21,67,80,3.62,broken clouds
613,Chicama,PE,-7.8447,-79.1469,59.54,79,20,4.29,few clouds
614,San,ML,13.3034,-4.8956,80.38,44,69,5.77,broken clouds
615,Okato,NZ,-39.2,173.8833,58.42,73,61,12.08,broken clouds
616,Kruisfontein,ZA,-34.0033,24.7314,62.89,81,100,22.19,overcast clouds
617,Illela,NG,13.7292,5.2975,79.02,19,100,8.03,overcast clouds
618,Teluknaga,ID,-6.0989,106.6381,87.98,70,40,8.01,moderate rain
619,Puerto Leguizamo,CO,-0.1934,-74.7819,71.94,98,99,2.68,light rain
620,Anito,PH,12.4497,125.2886,84.18,72,87,11.23,overcast clouds
621,Okhotsk,RU,59.3833,143.3,13.42,63,21,10.74,few clouds
622,Ranong,TH,9.9658,98.6348,84.13,71,100,2.93,overcast clouds
623,Severodvinsk,RU,64.5635,39.8302,32.11,95,100,12.48,light snow
624,Davila,PH,18.4726,120.5763,87.78,64,5,18.19,clear sky
625,Enid,US,36.3956,-97.8784,48.36,60,1,1.99,clear sky
626,Singapore,SG,1.2897,103.8501,87.75,69,75,5.75,broken clouds
627,Hualmay,PE,-11.0964,-77.6139,63.79,83,21,6.4,few clouds
628,Atikokan,CA,48.7555,-91.6216,32.67,85,84,10.89,broken clouds
629,Palana,RU,59.1167,159.9667,14.47,89,99,5.3,snow
630,Callaway,US,30.153,-85.5699,59.92,84,1,1.01,clear sky
631,Starosubkhangulovo,RU,53.1031,57.4423,42.48,86,100,7.61,overcast clouds
632,Taksimo,RU,56.3444,114.8794,28.38,60,17,2.8,few clouds
633,Kendari,ID,-3.945,122.4989,86.4,67,64,5.14,broken clouds
634,Ambilobe,MG,-13.2,49.05,83.52,60,17,3.98,few clouds
635,Kelowna,CA,49.8831,-119.4857,33.85,80,0,0.98,clear sky
636,Mocuba,MZ,-16.8392,36.9856,79.07,73,99,1.03,overcast clouds
637,Trairi,BR,-3.2778,-39.2689,80.67,75,80,10.67,broken clouds
638,Kostomuksha,RU,64.571,30.5767,39.85,99,100,3.42,light rain
639,Lodwar,KE,3.1191,35.5973,86.2,36,86,16.11,overcast clouds
640,Ocos,GT,14.5094,-92.1933,81.32,83,100,4.94,overcast clouds
641,Aripuana,BR,-9.1667,-60.6333,73.87,88,83,0.69,broken clouds
642,La Tuque,CA,47.4334,-72.7824,46.65,93,100,1.14,overcast clouds
643,Wilkie,CA,52.4168,-108.7014,24.3,66,1,3.09,clear sky
644,Shubarkuduk,KZ,49.1447,56.4872,43.09,56,9,9.93,clear sky
645,Kondinskoye,RU,59.6481,67.41,18.88,92,100,13.04,light snow
646,Dicabisagan,PH,17.0818,122.4157,84.16,63,42,9.98,scattered clouds
647,Alice Springs,AU,-23.7,133.8833,87.35,37,75,6.91,broken clouds
648,Seoni Malwa,IN,22.45,77.4667,76.71,41,7,5.75,clear sky
649,Buraydah,SA,26.326,43.975,66.65,24,27,9.95,scattered clouds
650,Preobrazheniye,RU,42.9019,133.9064,50.22,70,100,12.84,moderate rain
651,Tonj,SS,7.2737,28.6822,75.78,73,85,0.69,overcast clouds
652,Coahuayana,MX,18.7333,-103.6833,75.02,87,18,2.73,few clouds
653,Grinnell,US,41.743,-92.7224,36.72,81,1,1.99,clear sky
654,Valparaiso,CL,-33.0393,-71.6273,53.24,82,40,0.0,scattered clouds
655,Port Blair,IN,11.6667,92.75,84.56,71,54,10.83,broken clouds
656,Dingle,PH,10.9995,122.6711,84.61,73,69,14.88,broken clouds
657,Beyneu,KZ,45.3167,55.2,50.97,45,0,6.93,clear sky
658,Fukue,JP,32.6881,128.8419,71.96,56,75,13.8,broken clouds
659,Sambava,MG,-14.2667,50.1667,79.34,72,24,4.9,light rain
660,Weyburn,CA,49.6668,-103.8511,26.82,74,23,6.91,few clouds
661,Zheleznodorozhnyy,RU,55.7503,38.0042,37.81,79,5,6.69,clear sky
662,Raudeberg,NO,61.9875,5.1352,50.2,87,100,1.01,moderate rain
663,Christchurch,NZ,-43.5333,172.6333,61.32,71,55,10.0,broken clouds
664,Breukelen,NL,52.1742,5.0014,50.99,92,81,14.47,broken clouds
665,Campbell River,CA,50.0163,-125.2446,36.93,100,1,2.3,clear sky
666,Brest,BY,52.1,23.7,37.36,93,0,8.95,mist
667,Southbridge,US,42.0751,-72.0334,54.72,83,65,1.99,broken clouds
668,Moussoro,TD,13.6408,16.4901,80.91,24,66,15.03,broken clouds
669,Kokopo,PG,-4.352,152.2633,85.68,61,87,2.89,overcast clouds
670,Ugoofaaru,MV,5.6667,73.0,81.23,79,90,15.23,overcast clouds
671,Bayir,TR,37.2687,28.2167,54.43,96,100,3.0,moderate rain
672,Stornoway,GB,58.2093,-6.3865,50.94,93,75,29.93,moderate rain
673,Torit,SS,4.4133,32.5678,77.81,52,36,1.83,scattered clouds
674,Avera,US,33.194,-82.5271,54.72,83,0,5.64,clear sky
